Timestamps,spl
1642779600.961105,116.47789237947197
1642779601.461105,116.8804368198024
1642779601.961105,117.22065248039402
1642779602.461105,116.76205857047626
1642779602.961105,117.45560559879398
1642779603.461105,118.4581527891039
1642779603.961105,117.96131417577723
1642779604.461105,118.01287963149278
1642779604.961105,118.28038766058192
1642779605.461105,119.00582755683939
1642779605.961105,119.08863732751617
1642779606.461105,118.62469239361559
1642779606.961105,118.76857476054025
1642779607.461105,120.24754577587774
1642779607.961105,118.4998825516289
1642779608.461105,119.7939011405762
1642779608.961105,118.23676940083837
1642779609.461105,117.33902276544754
1642779609.961105,117.51715578632188
1642779610.461105,117.70310336953969
1642779610.961105,118.02477607739047
1642779611.461105,119.45700506068945
1642779611.961105,120.11938789722856
1642779612.461105,120.63976336561115
1642779612.961105,118.84760253446979
1642779613.461105,120.04402259561755
1642779613.961105,119.12502191277197
1642779614.461105,120.45946192692091
1642779614.961105,121.42879696800591
1642779615.461105,119.25023408354483
1642779615.961105,119.54602676486232
1642779616.461105,117.85724092968219
1642779616.961105,116.69525437696532
1642779617.461105,119.068147747674
1642779617.961105,119.56891499147102
1642779618.461105,118.20701660266562
1642779618.961105,120.82604033924562
1642779619.461105,123.15151858598128
1642779619.961105,116.99897390049708
1642779620.461105,117.73948414582009
1642779620.961105,119.42109545983601
1642779621.461105,120.79773762719759
1642779621.961105,123.53808776662079
1642779622.461105,125.8788329346724
1642779622.961105,127.04920265653568
1642779623.461105,127.90430885953889
1642779623.961105,123.68694077602524
1642779624.461105,127.99373353804204
1642779624.961105,124.97510636163928
1642779625.461105,126.106202935703
1642779625.961105,125.73342252715749
1642779626.461105,125.55580879883652
1642779626.961105,125.94657927121736
1642779627.461105,129.61858973522737
1642779627.961105,129.03234040087855
1642779628.461105,131.62128839477094
1642779628.961105,131.43288986129346
1642779629.461105,133.85539978836573
1642779629.961105,131.94200829666082
1642779630.461105,131.5890169541359
1642779630.961105,133.06505994299522
1642779631.461105,131.43341022307175
1642779631.961105,131.33698539928326
1642779632.461105,131.5350350301917
1642779632.961105,130.09537141838473
1642779633.461105,129.0297774854708
1642779633.961105,130.0977005832676
1642779634.461105,129.049932560603
1642779634.961105,129.78883136603935
1642779635.461105,127.11659377086838
1642779635.961105,125.4430853662227
1642779636.461105,122.11385811090213
1642779636.961105,124.58563318483402
1642779637.461105,121.8354867159634
1642779637.961105,124.63036598025636
1642779638.461105,121.99158813444396
1642779638.961105,122.2819174361301
1642779639.461105,119.96325353847088
1642779639.961105,118.00775154038567
1642779640.461105,117.76021967748552
1642779640.961105,118.44018863083562
1642779641.461105,118.39387715049685
1642779641.961105,118.70801591923188
1642779642.461105,119.61365162789602
1642779642.961105,122.45047966725352
1642779643.461105,122.10427068518622
1642779643.961105,125.15387303175814
1642779644.461105,125.4007153612339
1642779644.961105,125.78136238955442
1642779645.461105,126.30622046038816
1642779645.961105,126.29521073800902
1642779646.461105,125.78303425822249
1642779646.961105,126.99919903725026
1642779647.461105,126.08138273547732
1642779647.961105,124.5752470913975
1642779648.461105,122.0109817657567
1642779648.961105,120.02665174166995
1642779649.461105,119.42251476190756
1642779649.961105,118.35176592936165
1642779650.461105,120.28505202428624
1642779650.961105,121.4296047772025
1642779651.461105,121.3799129299266
1642779651.961105,118.92773875172365
1642779652.461105,118.55273584192885
1642779652.961105,119.4969487839645
1642779653.461105,122.70144245991804
1642779653.961105,121.7554227326594
1642779654.461105,120.04290138709754
1642779654.961105,119.14525879444318
1642779655.461105,119.65014118857431
1642779655.961105,119.95600759108925
1642779656.461105,119.41587013456511
1642779656.961105,118.07086430600972
1642779657.461105,119.6473251925649
1642779657.961105,119.62097478550515
1642779658.461105,120.56476368175026
1642779658.961105,120.96209267147525
1642779659.461105,119.98648029864785
1642779659.961105,119.56734866416278
1642779660.461105,119.27362596357409
1642779660.961105,118.25262306529206
1642779661.461105,118.05458133841628
1642779661.961105,118.34177378913577
1642779662.461105,119.1512070073731
1642779662.961105,118.70998236159748
1642779663.461105,120.80058620607693
1642779663.961105,121.19842045251926
1642779664.461105,122.54985440848988
1642779664.961105,121.71137379409447
1642779665.461105,123.26881633833658
1642779665.961105,120.78841712863351
1642779666.461105,122.68957645359788
1642779666.961105,121.24024958171591
1642779667.461105,120.7030874851979
1642779667.961105,120.10212303598907
1642779668.461105,122.43656815274764
1642779668.961105,125.03262385772872
1642779669.461105,124.94431413958964
1642779669.961105,125.16378979288709
1642779670.461105,121.82439479381307
1642779670.961105,121.06384520188458
1642779671.461105,121.30912347232275
1642779671.961105,124.34690597964448
1642779672.461105,123.2275607190411
1642779672.961105,122.3046296281982
1642779673.461105,121.88370164220242
1642779673.961105,121.57038688191986
1642779674.461105,123.14396342620284
1642779674.961105,121.13685021756349
1642779675.461105,123.86325193141354
1642779675.961105,121.92341097804885
1642779676.461105,122.63780258578214
1642779676.961105,124.20600557328515
1642779677.461105,127.1051649875324
1642779677.961105,124.52658230887825
1642779678.461105,123.1565615363246
1642779678.961105,120.5736648669395
1642779679.461105,120.95857261225983
1642779679.961105,120.51605273888062
1642779680.461105,119.58469588164859
1642779680.961105,122.40051833752693
1642779681.461105,123.02441672212376
1642779681.961105,122.93915855091936
1642779682.461105,121.74659664082807
1642779682.961105,122.16111233754032
1642779683.461105,125.6658495392053
1642779683.961105,124.17870624050208
1642779684.461105,127.16164478060948
1642779684.961105,125.48791749448614
1642779685.461105,124.88186865751956
1642779685.961105,122.71063413686984
1642779686.461105,121.12513945013094
1642779686.961105,121.46437027359944
1642779687.461105,121.2060647399793
1642779687.961105,119.55332886570919
1642779688.461105,121.28054275753283
1642779688.961105,121.26547199379166
1642779689.461105,125.67354376130098
1642779689.961105,129.08180768188916
1642779690.461105,126.04097572596176
1642779690.961105,123.9727530006472
1642779691.461105,122.49693409523465
1642779691.961105,120.57499645423098
1642779692.461105,120.48637512051168
1642779692.961105,122.34657076025067
1642779693.461105,121.128035538049
1642779693.961105,120.97256712036386
1642779694.461105,119.18115723956657
1642779694.961105,118.99126926301653
1642779695.461105,120.29856335941776
1642779695.961105,120.13858706545956
1642779696.461105,122.1756993871554
1642779696.961105,120.72122533927376
1642779697.461105,123.86076506869169
1642779697.961105,121.54291814886017
1642779698.461105,121.99118244012712
1642779698.961105,121.63309332852515
1642779699.461105,121.25147990690893
1642779699.961105,124.2856024317492
1642779700.461105,122.78417569038913
1642779700.961105,122.9519897820218
1642779701.461105,120.71393009474377
1642779701.961105,121.35046461765273
1642779702.461105,120.82084395701719
1642779702.961105,120.43896152443372
1642779703.461105,119.93684342809652
1642779703.961105,119.92728340660312
1642779704.461105,119.04564840317212
1642779704.961105,120.0495195319031
1642779705.461105,120.32909883161881
1642779705.961105,123.55986669798378
1642779706.461105,123.9901876794241
1642779706.961105,125.2976967788204
1642779707.461105,128.89914599853876
1642779707.961105,130.1450631218159
1642779708.461105,132.0851196965491
1642779708.961105,132.22982598491834
1642779709.461105,131.78890268408
1642779709.961105,131.22871326521448
1642779710.461105,130.0638802571902
1642779710.961105,129.75874518501772
1642779711.461105,127.2223072175872
1642779711.961105,127.62387150763452
1642779712.461105,120.38263658411425
1642779712.961105,125.57914306178048
1642779713.461105,124.1084928583949
1642779713.961105,123.38057451152076
1642779714.461105,124.85119327677413
1642779714.961105,129.32890833731545
1642779715.461105,127.9859513009638
1642779715.961105,129.95267742223416
1642779716.461105,128.93590250637854
1642779716.961105,127.80182051917498
1642779717.461105,125.76805437692362
1642779717.961105,128.04525672266567
1642779718.461105,128.8847632483948
1642779718.961105,130.3426221005439
1642779719.461105,126.61877782620827
1642779719.961105,128.31386308435086
1642779720.461105,125.04293407392782
1642779720.961105,129.9218476101455
1642779721.461105,131.6660091206995
1642779721.961105,129.98078050360715
1642779722.461105,130.58810980431647
1642779722.961105,127.32899796067254
1642779723.461105,123.75663960060874
1642779723.961105,130.94833759498243
1642779724.461105,124.51421997389532
1642779724.961105,125.45558111338607
1642779725.461105,129.51081283864323
1642779725.961105,129.43636408255867
1642779726.461105,127.23403985492943
1642779726.961105,128.5936388124982
1642779727.461105,129.95110794011129
1642779727.961105,130.22656590912376
1642779728.461105,130.6477788463892
1642779728.961105,131.61365084237596
1642779729.461105,132.4184220823931
1642779729.961105,131.92621325284708
1642779730.461105,130.70341386481385
1642779730.961105,130.1666355303795
1642779731.461105,128.45418608090785
1642779731.961105,126.32010050702245
1642779732.461105,126.28291547343454
